Sample_ID,Heterozygous,Homozygous,Missing
TAMex0068.1,22.28,73.14,4.58
TAMex0069.1,19.94,76.09,3.97
TAMex0070.1,24.11,71.01,4.88
TAMex0071.3,24.72,72.02,3.26
TAMex0073.2,22.69,71.31,6
TAMex0076.1,21.97,74.57,3.46
TAMex0077.1,26.55,69.99,3.46
TAMex0078.1,25.64,67.85,6.51
TAMex0079.1,26.25,68.57,5.19
TAMex0082.1,24.52,71.21,4.27
TAMex0083.1,21.57,75.08,3.36
TAMex0090.1,22.89,73.04,4.07
TAMex0091.1,22.89,71.72,5.39
TAMex0092.1,20.35,76.4,3.26
TAMex0093.1,20.45,73.04,6.51
TAMex0094.1,23.5,72.74,3.76
TAMex0095.3,24.82,71.31,3.87
TAMex0100.2,22.08,73.65,4.27
TAMex0103.2,23.19,69.99,6.82
TAMex0104.2,21.16,74.26,4.58
TAMex0105.1,22.99,72.23,4.78
TAMex0106.1,20.24,75.69,4.07
TAMex0108.3,22.48,70.91,6.61
TAMex0110.1,20.45,76.91,2.64
TAMex0111.2,21.87,71.31,6.82
TAMex0112.1,27.87,69.58,2.54
TAMex0113.1,21.26,74.26,4.48
TAMex0114.1,20.75,74.36,4.88
TAMex0115.1,20.55,75.99,3.46
TAMex0116.1,21.57,71.52,6.92
TAMex0118.1,21.97,72.33,5.7
TAMex0122.2,22.58,73.45,3.97
TAMex0123.1,22.38,72.74,4.88
TAMex0126.2,24.21,71.82,3.97
TAMex0127.1,23.8,71.92,4.27
TAMex0130.1,25.03,72.33,2.64
TAMex0138.1,22.38,71.52,6.1
TAMex0139.2,19.13,77.82,3.05
TAMex0141.1,25.64,71.01,3.36
TAMex0143.1,20.45,75.08,4.48
TAMex0144.1,22.48,72.43,5.09
TAMex0146.1,20.75,75.99,3.26
TAMex0148.1,20.55,77.11,2.34
TAMex0149.2,24.62,70.19,5.19
TAMex0150.3,26.65,68.77,4.58
TAMex0151.3,24.92,68.97,6.1
TAMex0153.1,21.06,73.65,5.29
TAMex0154.3,24.52,71.52,3.97
TAMex0155.1,24.52,68.57,6.92
TAMex0156.1,26.25,70.91,2.85
TAMex0157.2,18.72,71.21,10.07
TAMex0158.1,24.72,69.58,5.7
TAMex0163.1,20.24,75.38,4.37
